epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1621.75,0.82704,0.86408,1.25213,0.74318,0.74112,0.80525,0.63881,0.72726,0.88467,1.17749,0.000643101,0.000643101,0.000643101
43,1666.21,0.82621,0.8646,1.25464,0.744,0.74494,0.80976,0.64532,0.71869,0.86855,1.17761,0.000628101,0.000628101,0.000628101
44,1709.2,0.8131,0.85629,1.23946,0.7651,0.7363,0.81621,0.63471,0.76142,0.88621,1.19968,0.000612981,0.000612981,0.000612981
45,1748.9,0.81314,0.84788,1.23554,0.74723,0.76098,0.82123,0.64881,0.75578,0.85254,1.19204,0.000597754,0.000597754,0.000597754
46,1787.95,0.81703,0.82639,1.2398,0.74184,0.74711,0.80601,0.64266,0.72369,0.86648,1.1836,0.000582435,0.000582435,0.000582435
47,1827.32,0.80991,0.8255,1.23499,0.75455,0.7586,0.82341,0.65996,0.71472,0.84033,1.17761,0.00056704,0.00056704,0.00056704
48,1866.45,0.80193,0.8092,1.22557,0.74172,0.75264,0.81048,0.63958,0.74323,0.85672,1.1839,0.000551584,0.000551584,0.000551584
49,1906,0.79872,0.81065,1.22272,0.73984,0.76642,0.80199,0.63513,0.72508,0.85484,1.17997,0.000536081,0.000536081,0.000536081
50,1946.04,0.79612,0.79919,1.22509,0.77125,0.75857,0.8282,0.66293,0.70851,0.81572,1.16396,0.000520548,0.000520548,0.000520548
51,1987.29,0.78165,0.77538,1.21021,0.78571,0.73272,0.82306,0.6613,0.69134,0.82835,1.16938,0.000505,0.000505,0.000505
52,2028.75,0.77636,0.77607,1.21069,0.7905,0.74581,0.83896,0.66877,0.71496,0.79349,1.1683,0.000489452,0.000489452,0.000489452
53,2071.33,0.78022,0.76788,1.21296,0.79988,0.73976,0.8237,0.66082,0.69222,0.82548,1.15942,0.000473919,0.000473919,0.000473919
54,2111.86,0.77794,0.76017,1.207,0.79018,0.73962,0.83452,0.67932,0.67465,0.80013,1.16028,0.000458416,0.000458416,0.000458416
55,2152.72,0.77005,0.74636,1.20123,0.77421,0.73545,0.82008,0.66037,0.69681,0.81798,1.1637,0.00044296,0.00044296,0.00044296
56,2193.35,0.76833,0.75656,1.20665,0.78077,0.75857,0.83321,0.67101,0.69884,0.79221,1.16543,0.000427565,0.000427565,0.000427565
57,2234.84,0.76421,0.73786,1.19964,0.74717,0.76391,0.81832,0.65257,0.72156,0.83501,1.17743,0.000412246,0.000412246,0.000412246
58,2277.63,0.75942,0.72646,1.19143,0.77024,0.78041,0.84131,0.6761,0.71236,0.79299,1.17086,0.000397019,0.000397019,0.000397019
59,2319.06,0.76058,0.73612,1.19634,0.77298,0.75423,0.82552,0.66488,0.6942,0.82023,1.17242,0.000381899,0.000381899,0.000381899
60,2361.85,0.76012,0.72789,1.19985,0.81188,0.72885,0.83396,0.67746,0.67802,0.81066,1.15343,0.000366899,0.000366899,0.000366899
61,2404.66,0.75514,0.72381,1.18932,0.75184,0.77697,0.83666,0.67464,0.70311,0.79768,1.16375,0.000352037,0.000352037,0.000352037
62,2447.55,0.73773,0.70774,1.1762,0.77635,0.76363,0.845,0.68624,0.67721,0.77538,1.15942,0.000337325,0.000337325,0.000337325
63,2488.12,0.74357,0.70796,1.18847,0.77186,0.76525,0.83456,0.67646,0.67617,0.80163,1.1508,0.000322778,0.000322778,0.000322778
64,2526.13,0.7353,0.69739,1.18029,0.76889,0.77721,0.84034,0.69254,0.65796,0.78026,1.14149,0.000308412,0.000308412,0.000308412
65,2568.07,0.73896,0.70037,1.18364,0.76734,0.77913,0.83669,0.67988,0.68869,0.79439,1.16344,0.000294239,0.000294239,0.000294239
66,2611.74,0.73468,0.69543,1.17709,0.80487,0.73515,0.83731,0.68818,0.67275,0.78714,1.14767,0.000280275,0.000280275,0.000280275
67,2654.02,0.73446,0.68745,1.17806,0.77685,0.76865,0.84101,0.68858,0.67386,0.78605,1.1485,0.000266532,0.000266532,0.000266532
68,2694.3,0.72243,0.67737,1.17003,0.79584,0.75535,0.83996,0.68877,0.65322,0.77875,1.13786,0.000253024,0.000253024,0.000253024
69,2732.68,0.72035,0.67729,1.17269,0.78761,0.76775,0.84172,0.69012,0.66921,0.77505,1.14694,0.000239766,0.000239766,0.000239766
70,2771.83,0.71526,0.66707,1.16621,0.81175,0.74398,0.84836,0.69824,0.6609,0.76536,1.13964,0.000226769,0.000226769,0.000226769
71,2816.04,0.71062,0.66045,1.16196,0.78195,0.77727,0.84374,0.69459,0.65131,0.76648,1.14484,0.000214046,0.000214046,0.000214046
72,2857.48,0.72968,0.66084,1.17634,0.83567,0.73328,0.84515,0.69382,0.65864,0.77903,1.13965,0.000201611,0.000201611,0.000201611
73,2886.68,0.70959,0.65205,1.16139,0.79578,0.7576,0.84709,0.69618,0.66772,0.76097,1.1473,0.000189475,0.000189475,0.000189475
74,2912.27,0.71468,0.65343,1.16415,0.78202,0.7701,0.84149,0.69027,0.66509,0.77071,1.14689,0.000177651,0.000177651,0.000177651
75,2938.28,0.70404,0.63913,1.15926,0.80876,0.75656,0.84693,0.69793,0.65612,0.76717,1.14568,0.000166149,0.000166149,0.000166149
76,2964.29,0.70415,0.64349,1.15557,0.79103,0.76956,0.8387,0.68724,0.66878,0.7746,1.14707,0.000154982,0.000154982,0.000154982
77,2989.6,0.69891,0.63704,1.15488,0.80895,0.77276,0.84845,0.69476,0.6696,0.75185,1.14182,0.000144161,0.000144161,0.000144161
78,3015.79,0.69233,0.62509,1.15367,0.81516,0.75424,0.84944,0.69896,0.65991,0.75956,1.14344,0.000133695,0.000133695,0.000133695
79,3040.89,0.68975,0.63037,1.15001,0.79231,0.76364,0.83965,0.68846,0.66683,0.7824,1.13878,0.000123596,0.000123596,0.000123596
80,3066.68,0.69409,0.62886,1.15992,0.7892,0.78201,0.84526,0.69584,0.65399,0.76331,1.14573,0.000113873,0.000113873,0.000113873
81,3091.67,0.68545,0.6132,1.14026,0.79575,0.77428,0.84685,0.69518,0.66161,0.76806,1.14968,0.000104537,0.000104537,0.000104537
82,3117.83,0.68391,0.60851,1.14156,0.79453,0.76814,0.84339,0.69562,0.65033,0.77263,1.13706,9.55951e-05,9.55951e-05,9.55951e-05
83,3143.06,0.69471,0.60924,1.15397,0.79382,0.77661,0.84746,0.69977,0.65226,0.7619,1.13417,8.70577e-05,8.70577e-05,8.70577e-05
84,3168.74,0.68324,0.6146,1.14303,0.80702,0.75825,0.84737,0.69937,0.65399,0.7667,1.14082,7.89327e-05,7.89327e-05,7.89327e-05
85,3195.92,0.67576,0.60471,1.13722,0.79411,0.77283,0.84884,0.70065,0.65335,0.77027,1.13873,7.12282e-05,7.12282e-05,7.12282e-05
86,3226.5,0.6816,0.60121,1.14052,0.7974,0.77799,0.84855,0.69998,0.64623,0.7594,1.13148,6.39518e-05,6.39518e-05,6.39518e-05
87,3253.13,0.67148,0.59095,1.13062,0.7983,0.77248,0.84894,0.70123,0.64981,0.76136,1.14052,5.71106e-05,5.71106e-05,5.71106e-05
88,3280.13,0.67378,0.60079,1.13993,0.8048,0.77769,0.84957,0.70301,0.64355,0.76024,1.13274,5.07115e-05,5.07115e-05,5.07115e-05
89,3306.73,0.67407,0.59271,1.13313,0.79441,0.78551,0.84992,0.70365,0.64595,0.75534,1.13652,4.47606e-05,4.47606e-05,4.47606e-05
90,3333.68,0.67748,0.60559,1.14203,0.79019,0.78129,0.84529,0.70152,0.64482,0.7617,1.13615,3.9264e-05,3.9264e-05,3.9264e-05
91,3383.29,0.57291,0.48086,1.06729,0.77707,0.76475,0.82656,0.67323,0.66625,0.80177,1.15559,3.4227e-05,3.4227e-05,3.4227e-05
92,3409.09,0.55174,0.42938,1.04963,0.77486,0.77318,0.83054,0.67754,0.65988,0.80174,1.15071,2.96546e-05,2.96546e-05,2.96546e-05
93,3435.68,0.55408,0.42494,1.04688,0.79439,0.77051,0.83894,0.68897,0.65587,0.77432,1.14698,2.55513e-05,2.55513e-05,2.55513e-05
94,3461.48,0.54115,0.41058,1.03879,0.78513,0.77326,0.84083,0.68806,0.65639,0.77539,1.14759,2.19212e-05,2.19212e-05,2.19212e-05
95,3487.74,0.54413,0.41689,1.04595,0.79744,0.766,0.83951,0.6916,0.65002,0.7727,1.1406,1.87678e-05,1.87678e-05,1.87678e-05
96,3513.7,0.54222,0.40363,1.04088,0.79406,0.77206,0.83938,0.69211,0.64955,0.76811,1.13636,1.60943e-05,1.60943e-05,1.60943e-05
97,3539.95,0.53649,0.40365,1.03036,0.79355,0.77468,0.84131,0.6937,0.64553,0.76798,1.13596,1.39032e-05,1.39032e-05,1.39032e-05
98,3566.18,0.54386,0.40923,1.03969,0.78849,0.77874,0.84037,0.69409,0.65097,0.77002,1.14005,1.21968e-05,1.21968e-05,1.21968e-05
99,3592.35,0.54403,0.40916,1.04282,0.7934,0.77607,0.84189,0.69526,0.64844,0.76578,1.13954,1.09768e-05,1.09768e-05,1.09768e-05
100,3618.4,0.5391,0.394,1.03488,0.80038,0.77361,0.84444,0.69778,0.64752,0.7601,1.13795,1.02443e-05,1.02443e-05,1.02443e-05
